budget,id,original_language,original_title,revenue,runtime,title,release_date,popularity,vote_average,vote_count
110000000,550988,en,Free Guy,331096766,115,Free Guy,2021-08-11,322.18,7.7,5709
14000000,744275,en,After We Fell,21500000,99,After We Fell,2021-09-01,242.256,7.1,1703
0,818750,en,The In Between,0,116,The In Between,2022-02-11,444.188,7.1,295
125000000,671,en,Harry Potter and the Philosopher's Stone,976475550,152,Harry Potter and the Philosopher's Stone,2001-11-16,224.145,7.9,22610
0,892153,en,Tom and Jerry Cowboy Up!,0,75,Tom and Jerry Cowboy Up!,2022-01-24,1087.876,7.0,302
0,760868,sv,Svart krabba,0,109,Black Crab,2022-03-18,1134.936,6.3,450
185000000,436969,en,The Suicide Squad,167417425,132,The Suicide Squad,2021-07-28,315.338,7.7,6165
26000000,675445,en,PAW Patrol: The Movie,144327371,86,PAW Patrol: The Movie,2021-08-09,302.82,7.5,929
0,928381,fr,Sans répit,0,95,Restless,2011-09-16,6.25,6.5,349
0,928381,fr,Sans répit,0,95,Restless,2022-02-25,569.238,6.0,245
0,726684,fr,"Miraculous World: Shanghai, la légende de Ladydragon",0,52,Miraculous World: Shanghai – The Legend of Ladydragon,2021-05-15,187.936,7.9,441
200000000,399566,en,Godzilla vs. Kong,467863133,113,Godzilla vs. Kong,2021-03-24,250.296,7.8,7905
161900000,379686,en,Space Jam: A New Legacy,162892228,115,Space Jam: A New Legacy,2021-07-08,262.007,7.0,3121
6500000,760926,en,Gold,0,97,Gold,2016-02-03,17.507,6.6,1344
6500000,760926,en,Gold,0,97,Gold,2022-01-13,860.925,6.4,256
0,860159,en,Crush,0,92,Crush,2013-03-13,17.86,5.9,264
0,926899,en,The House,0,97,The House,2022-01-14,524.836,7.0,608
0,39100,ja,ドラゴンボールZ この世で一番強いヤツ,18000000,60,Dragon Ball Z: The World's Strongest,1990-03-10,89.651,6.4,368
100000000,672,en,Harry Potter and the Chamber of Secrets,876688482,161,Harry Potter and the Chamber of Secrets,2002-11-13,178.344,7.7,18221
300000000,285,en,Pirates of the Caribbean: At World's End,961000000,169,Pirates of the Caribbean: At World's End,2007-05-19,342.187,7.2,12059
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,387.224,7.3,13443
200000000,385128,en,F9,726229501,143,F9,2021-05-19,292.705,7.3,5360
165000000,438631,en,Dune,400671789,155,Dune,2021-09-15,260.048,7.9,6999
165000000,438631,en,Dune,400671789,155,Dune,1984-12-14,33.177,6.2,2202
20000000,626735,en,Dog,77263354,102,Dog,2022-02-17,159.181,7.3,312
0,774741,en,Diary of a Wimpy Kid,0,58,Diary of a Wimpy Kid,2021-12-03,270.802,6.4,228
