budget,id,original_language,original_title,revenue,runtime,title,release_date,popularity,vote_average,vote_count
40000000,34851,en,Predators,127233108,107,Predators,2010-07-03,73.692,6.2,3181
0,632632,ja,映画 ギヴン,0,60,Given,2020-08-22,221.521,8.4,318
26000000,22894,en,Legion,67918658,100,Legion,2010-01-21,121.262,5.8,2097
0,841755,en,Mortal Kombat Legends: Battle of the Realms,0,80,Mortal Kombat Legends: Battle of the Realms,2021-08-30,111.888,7.9,263
0,568160,ja,天気の子,186965409,112,Weathering with You,2019-06-19,134.684,8.1,1459
200000000,72190,en,World War Z,531865000,116,World War Z,2013-06-20,122.725,6.8,13062
40000000,3933,en,Corpse Bride,118133252,77,Corpse Bride,2005-09-12,101.408,7.5,7143
165000000,157336,en,Interstellar,701729206,169,Interstellar,2014-11-05,115.299,8.4,28515
175000000,260514,en,Cars 3,383925276,102,Cars 3,2017-06-15,116.687,6.8,4526
55000000,475557,en,Joker,1074251311,122,Joker,2019-10-02,113.936,8.2,20576
116000000,335983,en,Venom,855013954,112,Venom,2018-09-28,135.521,6.8,13333
84000000,9637,en,Scooby-Doo,275650703,88,Scooby-Doo,2002-06-14,91.657,6.0,3574
125000000,131631,en,The Hunger Games: Mockingjay - Part 1,752100229,123,The Hunger Games: Mockingjay - Part 1,2014-11-19,117.9,6.8,13561
170000000,373571,en,Godzilla: King of the Monsters,386600138,132,Godzilla: King of the Monsters,2019-05-29,88.982,6.7,4807
120000000,50620,en,The Twilight Saga: Breaking Dawn - Part 2,829000000,115,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,89.926,6.5,7666
30000000,637693,en,Spirit Untamed,17635215,88,Spirit Untamed,2021-05-20,127.004,7.5,373
110000000,254128,en,San Andreas,473990832,114,San Andreas,2015-05-27,90.213,6.2,7189
94000000,12,en,Finding Nemo,940335536,100,Finding Nemo,2003-05-30,97.402,7.8,16384
75000000,35,en,The Simpsons Movie,527068851,87,The Simpsons Movie,2007-07-25,91.516,7.0,6762
0,706972,en,Narco Sub,0,93,Narco Sub,2021-01-22,116.636,6.7,220
0,436931,ja,劇場版 ポケットモンスター　キミにきめた！,37552144,98,Pokémon the Movie: I Choose You!,2017-07-15,117.489,7.0,512
0,741074,en,Once Upon a Snowman,0,7,Once Upon a Snowman,2020-10-23,104.572,6.9,429
0,554596,es,No Manches Frida 2,0,102,No Manches Frida 2,2019-03-15,95.02,8.0,695
210000000,91314,en,Transformers: Age of Extinction,1104054072,165,Transformers: Age of Extinction,2014-06-25,104.077,5.9,6713
0,503736,en,Army of the Dead,780000,148,Army of the Dead,2021-05-14,110.099,6.3,3069
5000000,529106,ru,Майор Гром: Чумной Доктор,4493306,136,Major Grom: Plague Doctor,2021-04-01,126.163,6.7,434
0,763148,en,Time Is Up,0,108,Time Is Up,2021-09-09,106.786,6.3,302
2900000,11224,en,Cinderella,263591415,74,Cinderella,1950-02-22,91.444,7.0,5652
2900000,11224,en,Cinderella,263591415,74,Cinderella,2015-03-12,61.367,6.8,6235
2900000,11224,en,Cinderella,263591415,74,Cinderella,2021-09-03,44.226,6.5,1094
95000000,150689,en,Cinderella,543514353,105,Cinderella,1950-02-22,91.444,7.0,5652
95000000,150689,en,Cinderella,543514353,105,Cinderella,2015-03-12,61.367,6.8,6235
95000000,150689,en,Cinderella,543514353,105,Cinderella,2021-09-03,44.226,6.5,1094
0,588921,en,AINBO: Spirit of the Amazon,7877742,84,AINBO: Spirit of the Amazon,2021-02-09,125.092,7.0,319
76000000,93456,en,Despicable Me 2,970761885,98,Despicable Me 2,2013-06-26,72.542,6.9,9747
0,283566,ja,シン・エヴァンゲリオン劇場版:||,92246218,155,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,184.706,8.4,502
0,75258,en,Secret of the Wings,0,92,Secret of the Wings,2012-08-17,61.832,7.1,945
175000000,404368,en,Ralph Breaks the Internet,529221154,112,Ralph Breaks the Internet,2018-11-20,69.991,7.2,6233
40000000,259693,en,The Conjuring 2,320392818,134,The Conjuring 2,2016-06-08,103.203,7.3,6806
25000000,276907,en,Legend,42972994,132,Legend,2015-09-09,74.092,7.0,2957
25000000,276907,en,Legend,42972994,132,Legend,1985-08-28,13.081,6.3,935
0,672322,ja,るろうに剣心 最終章 The Beginning,0,138,Rurouni Kenshin: The Beginning,2021-06-04,149.101,7.8,272
100000000,305470,en,Power Rangers,142337240,124,Power Rangers,2017-03-23,40.523,6.3,3860
260000000,38757,en,Tangled,592461732,100,Tangled,2010-11-24,103.232,7.6,9410
0,175112,en,Tinker Bell and the Pirate Fairy,20300000,78,Tinker Bell and the Pirate Fairy,2014-02-13,43.811,6.8,791
40000000,22832,en,Ninja Assassin,60462347,99,Ninja Assassin,2009-09-29,97.01,6.5,1151
22000000,439079,en,The Nun,365550119,96,The Nun,2018-09-05,82.738,5.8,5217
0,826749,en,Fortress,0,100,Fortress,2021-12-17,226.038,6.2,218
0,826749,en,Fortress,0,100,Fortress,1992-09-30,9.307,6.1,488
0,591273,en,Fear Street: 1994,0,107,Fear Street: 1994,2021-06-28,87.965,6.8,1531
0,25769,en,Carriers,5802422,84,Carriers,2009-09-04,85.699,6.1,1094
140000000,1726,en,Iron Man,585174222,126,Iron Man,2008-04-30,120.175,7.6,22750
150000000,269149,en,Zootopia,1023784195,109,Zootopia,2016-02-11,75.258,7.7,13938
20000000,602734,en,Spiral: From the Book of Saw,40618920,93,Spiral: From the Book of Saw,2021-05-12,82.124,6.1,1251
23000000,634528,en,The Marksman,23076711,108,The Marksman,2021-01-15,124.069,7.0,1188
45000000,522478,en,Peter Rabbit 2: The Runaway,153000000,93,Peter Rabbit 2: The Runaway,2021-03-25,110.903,7.2,559
110000000,50619,en,The Twilight Saga: Breaking Dawn - Part 1,712171856,117,The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,85.507,6.2,7546
55000000,458156,en,John Wick: Chapter 3 - Parabellum,326709727,130,John Wick: Chapter 3 - Parabellum,2019-05-15,93.059,7.4,7915
0,75624,ja,劇場版 NARUTO -ナルト- ブラッド・プリズン,0,108,Naruto Shippuden the Movie: Blood Prison,2011-07-30,101.29,7.2,369
250000000,337339,en,The Fate of the Furious,1238764765,136,The Fate of the Furious,2017-04-12,164.16,6.9,8905
12000000,26022,hi,My Name Is Khan,42345360,165,My Name Is Khan,2010-02-11,20.442,8.0,1014
0,767304,en,Redemption Day,0,100,Redemption Day,2021-01-08,130.368,6.2,206
200000000,49013,en,Cars 2,559852396,106,Cars 2,2011-06-11,107.452,6.0,6264
185000000,420809,en,Maleficent: Mistress of Evil,491570967,119,Maleficent: Mistress of Evil,2019-10-16,95.161,7.3,5043
15000000,9820,en,The Parent Trap,92108518,128,The Parent Trap,1998-07-28,95.872,7.1,3285
15000000,9820,en,The Parent Trap,92108518,128,The Parent Trap,1961-05-13,10.079,7.1,275
180000000,102651,en,Maleficent,758539785,97,Maleficent,2014-05-28,82.834,7.1,11625
175000000,333339,en,Ready Player One,582890172,140,Ready Player One,2018-03-28,115.982,7.6,12915
0,366170,ja,遊☆戯☆王 THE DARK SIDE OF DIMENSIONS,1015339,130,Yu-Gi-Oh!: The Dark Side of Dimensions,2016-04-23,100.377,7.6,277
40000000,38575,en,The Karate Kid,359126022,140,The Karate Kid,1984-06-22,28.431,7.2,3284
40000000,38575,en,The Karate Kid,359126022,140,The Karate Kid,2010-06-10,131.831,6.5,4953
90000000,324857,en,Spider-Man: Into the Spider-Verse,375540831,117,Spider-Man: Into the Spider-Verse,2018-12-06,89.607,8.4,11310
0,831405,en,Injustice,0,78,Injustice,2021-10-09,105.332,7.7,558
18000000,641501,fr,Comment je suis devenu super-héros,0,101,How I Became a Superhero,2020-11-19,96.165,6.2,376
3400000,587272,es,Padre no hay más que uno,15894372,95,Father There Is Only One,2019-08-02,17.118,7.1,252
20000000,8363,en,Superbad,170812526,113,Superbad,2007-03-20,67.818,7.2,5761
0,618162,en,The Harder They Fall,0,139,The Harder They Fall,2021-10-22,159.513,6.7,685
48000000,260346,en,Taken 3,325771424,109,Taken 3,2014-12-16,110.84,6.2,4887
80000000,109418,en,Grown Ups 2,247022278,101,Grown Ups 2,2013-07-11,94.988,6.1,3447
19000000,4247,en,Scary Movie,278019771,88,Scary Movie,2000-07-07,101.294,6.3,5513
0,739993,en,Metal Lords,0,97,Metal Lords,2022-04-08,221.354,6.8,274
92000000,9806,en,The Incredibles,631442092,115,The Incredibles,2004-10-27,85.025,7.7,15188
2000000,270303,en,It Follows,14674076,101,It Follows,2014-09-24,180.883,6.6,5241
100000000,511809,en,West Side Story,74530532,157,West Side Story,1961-12-13,10.083,7.3,1481
100000000,511809,en,West Side Story,74530532,157,West Side Story,2021-12-08,119.978,7.2,901
0,630586,en,Wrong Turn,3777969,110,Wrong Turn,2003-05-30,60.789,6.3,2025
0,630586,en,Wrong Turn,3777969,110,Wrong Turn,2021-01-26,81.04,6.0,733
12600000,9902,en,Wrong Turn,28650575,84,Wrong Turn,2003-05-30,60.789,6.3,2025
12600000,9902,en,Wrong Turn,28650575,84,Wrong Turn,2021-01-26,81.04,6.0,733
160000000,27205,en,Inception,825532764,148,Inception,2010-07-15,104.752,8.4,31575
0,619297,en,Sweet Girl,0,110,Sweet Girl,2021-08-18,113.856,6.7,905
43000000,576845,en,Last Night in Soho,22957625,117,Last Night in Soho,2021-10-21,116.185,7.5,1645
200000000,68721,en,Iron Man 3,1214811252,130,Iron Man 3,2013-04-18,110.577,6.9,19454
0,811367,en,22 vs. Earth,0,9,22 vs. Earth,2021-04-30,87.735,7.1,285
0,665251,ja,オルタード・カーボン：リスリーブド,0,75,Altered Carbon: Resleeved,2020-03-19,163.414,6.5,209
0,728526,en,Encounter,0,108,Encounter,2021-12-03,171.088,6.5,304
25000000,10020,en,Beauty and the Beast,424967620,84,Beauty and the Beast,1991-10-22,93.443,7.7,8424
25000000,10020,en,Beauty and the Beast,424967620,84,Beauty and the Beast,1946-10-29,9.983,7.5,458
25000000,10020,en,Beauty and the Beast,424967620,84,Beauty and the Beast,2017-03-16,58.864,7.0,14125
25000000,10020,en,Beauty and the Beast,424967620,84,Beauty and the Beast,2014-02-12,17.818,6.1,1785
160000000,321612,en,Beauty and the Beast,1263521126,129,Beauty and the Beast,1991-10-22,93.443,7.7,8424
160000000,321612,en,Beauty and the Beast,1263521126,129,Beauty and the Beast,1946-10-29,9.983,7.5,458
160000000,321612,en,Beauty and the Beast,1263521126,129,Beauty and the Beast,2017-03-16,58.864,7.0,14125
160000000,321612,en,Beauty and the Beast,1263521126,129,Beauty and the Beast,2014-02-12,17.818,6.1,1785
40000000,232672,en,Blended,127994610,117,Blended,2014-05-21,118.228,6.8,2806
55000000,341174,en,Fifty Shades Darker,378827494,118,Fifty Shades Darker,2017-02-08,101.744,6.5,6706
175000000,14160,en,Up,735099082,96,Up,2009-05-28,81.413,7.9,17179
40000000,324552,en,John Wick: Chapter 2,171539887,122,John Wick: Chapter 2,2017-02-08,89.147,7.3,10191
62000000,336843,en,Maze Runner: The Death Cure,288175335,143,Maze Runner: The Death Cure,2018-01-10,87.938,7.1,6406
175000000,150540,en,Inside Out,857611174,95,Inside Out,2015-06-09,90.847,7.9,17843
129000000,166428,en,How to Train Your Dragon: The Hidden World,517526875,104,How to Train Your Dragon: The Hidden World,2019-01-03,72.505,7.8,5131
200000000,384018,en,Fast & Furious Presents: Hobbs & Shaw,760098996,137,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,127.99,6.9,5753
20000000,15092,en,Crank: High Voltage,34560577,96,Crank: High Voltage,2009-04-16,105.91,6.0,2258
200000000,260513,en,Incredibles 2,1242805359,118,Incredibles 2,2018-06-14,82.914,7.5,10981
100000000,561,en,Constantine,230884728,121,Constantine,2005-02-08,60.967,7.0,5604
0,39324,ja,ドラゴンボールZ・絶望への反抗!!残された超戦士・悟飯とトランクス,0,48,Dragon Ball Z: The History of Trunks,1993-02-24,48.366,7.5,417
35000000,18785,en,The Hangover,469310836,100,The Hangover,2009-06-02,103.461,7.3,14476
250000000,49529,en,John Carter,284139100,132,John Carter,2012-03-07,84.215,6.2,4730
130000000,9502,en,Kung Fu Panda,631744560,90,Kung Fu Panda,2008-06-04,77.114,7.2,9346
139000000,557,en,Spider-Man,821708551,121,Spider-Man,2002-05-01,144.07,7.2,15695
150000000,76341,en,Mad Max: Fury Road,378858340,121,Mad Max: Fury Road,2015-05-13,78.283,7.6,19371
65000000,4564,en,Sex and the City,415252786,145,Sex and the City,2008-05-12,88.092,6.6,1798
0,630004,en,The Vault,0,118,The Vault,2021-03-04,103.871,7.0,612
40000000,18240,en,The Proposal,317375031,108,The Proposal,2009-06-01,90.17,7.1,5450
170000000,119450,en,Dawn of the Planet of the Apes,710644566,130,Dawn of the Planet of the Apes,2014-06-26,93.27,7.3,9493
40000000,619778,en,Malignant,24640084,111,Malignant,2021-09-01,112.398,6.9,1467
37000000,12153,en,White Chicks,113086475,109,White Chicks,2004-06-23,65.837,6.9,2940
0,591274,en,Fear Street: 1978,0,110,Fear Street: 1978,2021-07-08,92.766,7.3,1252
0,729720,fr,Le Dernier Mercenaire,0,110,The Last Mercenary,2021-07-30,130.23,6.7,484
93000000,120,en,The Lord of the Rings: The Fellowship of the Ring,871368364,179,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,98.114,8.4,20957
0,449406,en,Vivo,0,99,Vivo,2021-07-30,91.394,7.6,530
135000000,44896,en,Rango,245724603,107,Rango,2011-03-02,57.253,6.8,5300
150000000,447404,en,Pokémon Detective Pikachu,433005346,105,Pokémon Detective Pikachu,2019-05-03,143.27,7.0,5626
30000000,574060,en,Gunpowder Milkshake,344931,114,Gunpowder Milkshake,2021-07-14,136.558,6.4,601
61000000,294254,en,Maze Runner: The Scorch Trials,312296056,131,Maze Runner: The Scorch Trials,2015-09-09,99.967,6.7,8871
0,118406,ja,Road to Ninja: Naruto the Movie,17322136,109,Road to Ninja: Naruto the Movie,2012-07-28,98.426,7.6,675
132000000,270946,en,Penguins of Madagascar,373552094,92,Penguins of Madagascar,2014-11-22,68.322,6.5,3449
27000000,51876,en,Limitless,161849455,105,Limitless,2011-03-08,54.732,7.2,9013
0,831827,en,Far From the Tree,0,7,Far From the Tree,2021-11-24,173.532,8.1,266
217000000,335988,en,Transformers: The Last Knight,605425157,155,Transformers: The Last Knight,2017-06-16,82.139,6.1,4993
100000000,11322,en,Public Enemies,214104620,140,Public Enemies,2009-07-01,96.63,6.7,3680
150000000,8960,en,Hancock,629443428,92,Hancock,2008-07-01,140.341,6.3,8124
50000000,18239,en,The Twilight Saga: New Moon,709827462,131,The Twilight Saga: New Moon,2009-11-18,67.489,6.0,7878
0,197158,pt,Pornô!,0,83,Porno,2019-06-28,41.914,6.4,226
48000000,491418,en,Instant Family,14700000,118,Instant Family,2018-11-13,29.281,7.6,2299
66000000,136797,en,Need for Speed,203277636,132,Need for Speed,2014-03-12,67.599,6.3,3599
250000000,49051,en,The Hobbit: An Unexpected Journey,1021103568,169,The Hobbit: An Unexpected Journey,2012-11-26,89.499,7.3,15954
200000000,283995,en,Guardians of the Galaxy Vol. 2,863756051,137,Guardians of the Galaxy Vol. 2,2017-04-19,95.631,7.6,18312
0,572154,ja,青春ブタ野郎はゆめみる少女の夢を見ない,0,90,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,127.066,8.4,374
127500000,10567,en,Dinosaur,354248063,82,Dinosaur,2000-05-19,80.895,6.5,2020
140000000,1771,en,Captain America: The First Avenger,370569774,124,Captain America: The First Avenger,2011-07-22,92.864,7.0,18593
0,617708,es,La Llorona,0,97,La Llorona,2020-01-22,70.597,6.5,248
85000000,47971,en,xXx: Return of Xander Cage,346147658,107,xXx: Return of Xander Cage,2017-01-13,55.484,5.9,5765
130000000,70981,en,Prometheus,403354469,124,Prometheus,2012-05-30,68.829,6.5,10233
8500000,396535,ko,부산행,87547518,118,Train to Busan,2016-07-20,94.348,7.8,5671
80000000,324852,en,Despicable Me 3,1031552585,96,Despicable Me 3,2017-06-15,65.532,6.4,5979
160000000,810,en,Shrek the Third,813367380,93,Shrek the Third,2007-05-17,85.896,6.3,7397
225000000,49521,en,Man of Steel,754045518,143,Man of Steel,2013-06-12,81.012,6.6,13133
80000000,50546,en,Just Go with It,214945591,117,Just Go with It,2011-02-10,68.085,6.6,4695
245000000,140607,en,Star Wars: The Force Awakens,2068223624,136,Star Wars: The Force Awakens,2015-12-15,61.791,7.3,17001
0,595743,en,SAS: Red Notice,0,120,SAS: Red Notice,2021-08-11,96.892,5.9,364
50000000,72105,en,Ted,549368315,107,Ted,2012-06-29,127.206,6.4,10605
0,567189,en,Tom Clancy's Without Remorse,0,109,Tom Clancy's Without Remorse,2021-04-29,99.14,7.1,1920
75000000,335797,en,Sing,634151679,108,Sing,2016-11-23,94.024,7.1,6774
74000000,211672,en,Minions,1156730962,91,Minions,2015-06-17,44.194,6.4,9246
90000000,38700,en,Bad Boys for Life,426505244,124,Bad Boys for Life,2020-01-15,72.31,7.2,7010
11000000,11,en,Star Wars,775398007,121,Star Wars,1977-05-25,69.069,8.2,17248
0,597316,en,My Little Pony: A New Generation,0,91,My Little Pony: A New Generation,2021-09-23,117.063,7.9,207
0,9732,en,The Lion King II: Simba's Pride,0,81,The Lion King II: Simba's Pride,1998-10-24,76.367,7.0,3763
152000000,299537,en,Captain Marvel,1128276090,124,Captain Marvel,2019-03-06,96.31,6.9,13074
0,374205,ja,ワンピース　フィルム GOLD,66207073,120,One Piece Film: GOLD,2016-07-23,64.55,7.2,338
85000000,11970,en,Hercules,252712101,93,Hercules,1997-06-20,75.546,7.5,6157
85000000,11970,en,Hercules,252712101,93,Hercules,2014-07-23,56.071,5.7,3522
2600000,10895,en,Pinocchio,84300000,88,Pinocchio,1940-02-23,82.458,7.1,4858
2600000,10895,en,Pinocchio,84300000,88,Pinocchio,2019-12-19,28.108,6.6,1259
2600000,10895,en,Pinocchio,84300000,88,Pinocchio,2002-10-11,7.459,5.9,673
150000000,345940,en,The Meg,530243742,113,The Meg,2018-08-09,72.724,6.2,5855
80000000,287947,en,Shazam!,366080049,132,Shazam!,2019-03-29,63.204,7.1,7606
30000000,307081,en,Southpaw,91709827,123,Southpaw,2015-03-24,71.556,7.4,4728
41677699,12429,ja,崖の上のポニョ,202404009,100,Ponyo,2008-07-19,80.608,7.7,3230
128000000,10009,en,Brother Bear,250397798,85,Brother Bear,2003-10-23,73.333,7.2,4526
75000000,495764,en,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),201858461,109,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05,85.268,7.0,8763
125000000,412656,en,Chaos Walking,26943020,109,Chaos Walking,2021-02-24,72.179,6.7,1751
0,50723,ja,劇場版 NARUTO -ナルト- 疾風伝 ザ・ロストタワー,0,85,Naruto Shippuden the Movie: The Lost Tower,2010-07-31,75.937,7.0,309
24000000,10358,en,Zack and Miri Make a Porno,42105111,102,Zack and Miri Make a Porno,2008-09-18,72.27,6.3,1883
0,297270,en,Tinker Bell and the Legend of the NeverBeast,0,77,Tinker Bell and the Legend of the NeverBeast,2014-12-12,49.149,7.1,773
75000000,646380,en,Don't Look Up,784681,138,Don't Look Up,2021-12-07,90.834,7.2,5463
7000000,527641,en,Five Feet Apart,91500000,116,Five Feet Apart,2019-03-14,101.968,8.3,4754
190000000,168259,en,Furious 7,1515047671,137,Furious 7,2015-04-01,139.706,7.2,9103
40000000,49530,en,In Time,173930596,109,In Time,2011-10-27,80.135,6.9,9580
130000000,417859,en,Puss in Boots,554987477,90,Puss in Boots,2011-10-28,35.695,6.4,2587
130000000,37135,en,Tarzan,448191819,88,Tarzan,1999-06-18,79.572,7.4,5607
185000000,62177,en,Brave,538983207,93,Brave,2012-06-21,72.771,7.0,11533
20000000,597890,en,Voyagers,4284903,108,Voyagers,2021-04-08,72.457,6.1,514
0,375794,es,No Manches Frida,12421716,100,No Manches Frida,2016-09-02,86.656,7.8,642
0,433422,ja,劇場版 FAIRY TAIL 『DRAGON CRY』,0,85,Fairy Tail: Dragon Cry,2017-05-06,69.395,6.5,354
12000000,227719,en,Project Almanac,33213241,106,Project Almanac,2015-01-28,34.939,6.6,2120
80000000,9023,en,Spirit: Stallion of the Cimarron,122563539,83,Spirit: Stallion of the Cimarron,2002-05-24,85.079,7.7,3833
125000000,512200,en,Jumanji: The Next Level,800059707,123,Jumanji: The Next Level,2019-12-04,86.389,7.0,6943
300000000,141052,en,Justice League,657926987,120,Justice League,2017-11-15,74.877,6.1,11350
75000000,644495,en,House of Gucci,151758425,158,House of Gucci,2021-11-24,88.37,6.7,1656
37000000,23168,en,The Town,154026136,125,The Town,2010-09-15,74.47,7.2,4056
30000000,11836,en,The SpongeBob SquarePants Movie,140161792,87,The SpongeBob SquarePants Movie,2004-11-14,71.999,7.0,2293
80000000,38365,en,Grown Ups,271430189,102,Grown Ups,2010-06-24,97.125,6.3,4935
0,727745,en,The Kissing Booth 3,0,112,The Kissing Booth 3,2021-08-11,99.362,7.1,1418
258000000,559,en,Spider-Man 3,890871626,139,Spider-Man 3,2007-05-01,106.68,6.4,11622
4000000,215,en,Saw II,147748505,89,Saw II,2005-10-28,39.993,6.6,4203
0,530079,ja,きみと、波にのれたら,0,94,Ride Your Wave,2019-06-21,106.336,7.5,205
0,617502,en,Jolt,238524,91,Jolt,2021-07-15,94.307,6.7,927
90000000,8355,en,Ice Age: Dawn of the Dinosaurs,886686817,94,Ice Age: Dawn of the Dinosaurs,2009-06-26,84.935,6.7,6927
90000000,46195,en,Rio,484635760,96,Rio,2011-04-03,76.331,6.7,5542
130000000,13183,en,Watchmen,185258983,163,Watchmen,2009-03-04,43.997,7.3,7628
14479740,637534,fr,BAC Nord,0,105,The Stronghold,2021-08-18,97.507,7.5,799
94000000,122,en,The Lord of the Rings: The Return of the King,1118888979,201,The Lord of the Rings: The Return of the King,2003-12-01,88.085,8.5,19547
30000000,521029,en,Annabelle Comes Home,231252591,106,Annabelle Comes Home,2019-06-26,70.226,6.4,2739
0,845222,ko,킹덤: 아신전,0,92,Kingdom: Ashin of the North,2021-07-23,106.586,7.5,372
67000000,340102,en,The New Mutants,49169594,94,The New Mutants,2020-08-26,78.631,6.2,2678
30000000,43347,en,Love & Other Drugs,102820008,112,Love & Other Drugs,2010-11-22,74.677,7.0,4208
60000000,123553,en,The Mortal Instruments: City of Bones,95396573,130,The Mortal Instruments: City of Bones,2013-08-21,68.897,6.4,4003
145000000,82702,en,How to Train Your Dragon 2,621537500,102,How to Train Your Dragon 2,2014-06-05,68.341,7.7,8115
250000000,49026,en,The Dark Knight Rises,1081041287,165,The Dark Knight Rises,2012-07-16,83.723,7.8,19505
79000000,121,en,The Lord of the Rings: The Two Towers,926287400,179,The Lord of the Rings: The Two Towers,2002-12-18,103.527,8.4,18142
0,836009,en,Against the Ice,0,101,Against the Ice,2022-02-10,107.618,6.9,287
4000000,13186,en,Wrong Turn 2: Dead End,0,96,Wrong Turn 2: Dead End,2007-08-25,70.142,6.0,1022
55000000,156022,en,The Equalizer,192330738,132,The Equalizer,2014-09-24,67.572,7.2,7247
6500000,754067,fr,Mystère,4181043,84,Vicky and Her Mystery,2021-12-15,86.863,7.2,374
155000000,87101,en,Terminator Genisys,440603537,126,Terminator Genisys,2015-06-23,73.891,5.9,7198
120000000,9487,en,A Bug's Life,363258859,95,A Bug's Life,1998-11-25,76.992,7.0,7673
0,785538,pt,7 Prisioneiros,0,93,7 Prisoners,2021-10-22,119.866,7.1,251
19000000,129,ja,千と千尋の神隠し,274925095,125,Spirited Away,2001-07-20,69.9,8.5,12848
49000000,198184,en,Chappie,104399548,120,Chappie,2015-03-04,72.622,6.8,6842
105000000,10198,en,The Princess and the Frog,270997378,98,The Princess and the Frog,2009-12-08,98.878,7.1,4436
0,677638,en,We Bare Bears: The Movie,0,69,We Bare Bears: The Movie,2020-06-30,61.947,7.9,717
45000000,82675,en,Taken 2,376141306,91,Taken 2,2012-09-27,85.773,6.3,5667
4000000,398818,en,Call Me by Your Name,41063475,132,Call Me by Your Name,2017-09-01,79.348,8.2,10224
0,295830,ja,進撃の巨人 ATTACK ON TITAN,0,98,Attack on Titan,2015-08-01,51.728,5.9,562
0,581644,en,The Misfits,0,94,The Misfits,1961-02-01,6.954,7.0,268
0,52629,es,El Infierno,0,145,El Infierno,2010-09-03,56.627,7.7,430
58800000,190859,en,American Sniper,542307423,133,American Sniper,2014-12-25,94.571,7.4,11111
45000000,4248,en,Scary Movie 2,141220678,83,Scary Movie 2,2001-07-04,82.533,5.8,3722
250000000,127585,en,X-Men: Days of Future Past,747862775,132,X-Men: Days of Future Past,2014-05-15,80.382,7.5,13379
0,120475,ja,ドラゴンボール エピソード オブ バーダック,0,20,Dragon Ball: Episode of Bardock,2011-12-17,42.112,6.9,323
20000000,345938,en,The Shack,92924405,132,The Shack,2017-03-03,89.791,7.4,1677
0,723072,en,Host,26745,57,Host,2020-12-04,73.672,6.6,528
150000000,49444,en,Kung Fu Panda 2,665692281,91,Kung Fu Panda 2,2011-05-25,54.36,6.9,5595
37000000,312221,en,Creed,173567581,133,Creed,2015-11-25,123.521,7.4,5959
75000000,953,en,Madagascar,542063846,86,Madagascar,2005-05-25,76.928,6.9,9127
160000000,297802,en,Aquaman,1148528393,143,Aquaman,2018-07-06,117.651,6.9,11747
178000000,246655,en,X-Men: Apocalypse,543934787,144,X-Men: Apocalypse,2016-05-18,87.972,6.5,11298
0,740925,en,No One Gets Out Alive,0,85,No One Gets Out Alive,2021-09-29,96.164,6.0,379
100000000,11688,en,The Emperor's New Groove,169327687,78,The Emperor's New Groove,2000-12-15,71.034,7.5,5473
165000000,10191,en,How to Train Your Dragon,494878759,98,How to Train Your Dragon,2010-03-18,71.249,7.8,10922
50000000,7555,en,Rambo,113244290,92,Rambo,2008-01-24,61.714,6.6,3051
120000000,920,en,Cars,461983149,117,Cars,2006-06-08,77.308,6.9,11621
0,790142,en,The Royal Treatment,0,96,The Royal Treatment,2022-01-20,115.732,6.7,551
30000000,449443,en,Den of Thieves,80509622,140,Den of Thieves,2018-01-18,43.752,6.7,2325
4000000,9325,en,The Jungle Book,205843612,78,The Jungle Book,1967-10-18,69.638,7.3,5281
4000000,9325,en,The Jungle Book,205843612,78,The Jungle Book,2016-04-07,45.503,6.9,7107
4000000,9325,en,The Jungle Book,205843612,78,The Jungle Book,1994-12-23,11.392,5.9,377
80000000,11544,en,Lilo & Stitch,273144151,85,Lilo & Stitch,2002-06-21,84.101,7.5,5001
100000000,9836,en,Happy Feet,384335608,108,Happy Feet,2006-11-16,100.186,6.1,4242
80000000,27578,en,The Expendables,274470394,103,The Expendables,2010-08-03,72.011,6.2,6512
125000000,18823,en,Clash of the Titans,493214993,106,Clash of the Titans,1981-06-12,11.325,6.9,566
125000000,18823,en,Clash of the Titans,493214993,106,Clash of the Titans,2010-03-31,82.662,5.9,5328
0,603661,en,The Hating Game,0,102,The Hating Game,2021-12-09,23.32,7.5,438
150000000,6479,en,I Am Legend,585410052,101,I Am Legend,2007-12-12,99.116,7.2,13293
50000000,480530,en,Creed II,214215889,130,Creed II,2018-11-21,89.881,7.0,4198
28000000,812,en,Aladdin,504050219,90,Aladdin,1992-11-25,74.825,7.6,9656
28000000,812,en,Aladdin,504050219,90,Aladdin,2019-05-22,71.204,7.1,8584
183000000,420817,en,Aladdin,1047612394,128,Aladdin,1992-11-25,74.825,7.6,9656
183000000,420817,en,Aladdin,1047612394,128,Aladdin,2019-05-22,71.204,7.1,8584
0,607259,en,Fatherhood,0,109,Fatherhood,2021-06-18,68.655,7.6,1021
200000000,181808,en,Star Wars: The Last Jedi,1332698830,152,Star Wars: The Last Jedi,2017-12-13,61.409,6.9,13027
