,id,title,release_date,popularity,vote_average,vote_count
97,299536,Avengers: Infinity War,2018-04-25,362.768,8.3,24616
98,290098,The Handmaiden,2016-06-01,33.982,8.3,2677
99,5156,Bicycle Thieves,1948-11-24,11.288,8.3,1836
100,110420,Wolf Children,2012-07-21,38.622,8.3,1775
101,77338,The Intouchables,2011-11-02,67.793,8.3,14642
102,526702,Black Beauty,2020-11-27,10.003,8.3,264
103,1585,It's a Wonderful Life,1946-12-20,29.949,8.3,3313
104,8587,The Lion King,1994-06-23,149.359,8.3,15314
105,24188,Il Sorpasso,1962-12-05,7.392,8.3,562
106,755812,Miraculous World: New York  United HeroeZ,2020-11-21,184.227,8.3,888
107,476292,Maquia: When the Promised Flower Blooms,2018-02-24,77.2,8.3,454
108,504253,I Want to Eat Your Pancreas,2018-09-01,61.311,8.3,1008
109,610892,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,15.821,8.3,245
110,1398,Stalker,1979-05-25,15.282,8.2,1561
111,20532,Sansho the Bailiff,1954-03-31,8.331,8.2,258
112,664767,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,39.626,8.2,1098
113,490132,Green Book,2018-11-16,23.417,8.2,9064
114,313106,Doctor Who: The Day of the Doctor,2013-11-23,15.919,8.2,648
115,37257,Witness for the Prosecution,1957-12-17,9.636,8.2,985
116,422,8½,1963-02-14,11.541,8.2,1787
117,663558,New Gods: Nezha Reborn,2021-02-06,58.584,8.2,276
118,284,The Apartment,1960-06-21,11.418,8.2,1707
119,10098,The Kid,1921-01-21,9.466,8.2,1581
120,26451,Investigation of a Citizen Above Suspicion,1970-10-16,7.262,8.2,582
121,694,The Shining,1980-05-23,43.345,8.2,14434
122,531428,Portrait of a Lady on Fire,2019-06-17,16.96,8.2,1780
123,354912,Coco,2017-10-27,182.006,8.2,15666
124,2457,Children of Paradise,1945-03-15,6.352,8.2,293
125,185,A Clockwork Orange,1971-12-19,30.741,8.2,10679
126,490,The Seventh Seal,1957-02-16,13.356,8.2,2331
127,470044,The Hate U Give,2018-10-19,31.53,8.2,1769
128,398818,Call Me by Your Name,2017-09-01,79.348,8.2,10224
129,426,Vertigo,1958-05-28,16.537,8.2,4591
130,16869,Inglourious Basterds,2009-08-19,72.048,8.2,18702
131,399106,Piper,2016-06-16,9.85,8.2,1352
132,11,Star Wars,1977-05-25,69.069,8.2,17248
133,823754,Bo Burnham: Inside,2021-07-22,8.383,8.2,217
134,640344,Me Against You: Mr. S's Vendetta,2020-01-17,7.062,8.2,444
135,629,The Usual Suspects,1995-07-19,17.463,8.2,8575
136,1124,The Prestige,2006-10-19,24.988,8.2,13037
137,98,Gladiator,2000-05-01,44.201,8.2,15129
138,77,Memento,2000-10-11,19.759,8.2,12262
139,620683,My Mom is a Character 3,2019-12-26,6.281,8.2,418
140,857,Saving Private Ryan,1998-07-24,44.163,8.2,13041
141,11324,Shutter Island,2010-02-14,46.804,8.2,19878
142,705,All About Eve,1950-10-06,13.606,8.2,1203
143,518068,Along with the Gods: The Last 49 Days,2018-08-01,30.38,8.2,337
144,603,The Matrix,1999-03-30,69.066,8.2,21577
145,508442,Soul,2020-12-25,149.719,8.2,8026
146,20914,My Friends,1975-10-24,6.031,8.2,578
147,50014,The Help,2011-08-09,94.764,8.2,6379
148,19,Metropolis,1927-02-06,12.926,8.2,2057
149,103,Taxi Driver,1976-02-09,35.165,8.2,9373
150,517814,Capernaum,2018-09-20,12.861,8.2,1277
151,406997,Wonder,2017-11-13,29.2,8.2,6830
